City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kitgum,3.28,32.89,18.34,91,35,1.63,UG,1596317805
Bredasdorp,-34.53,20.04,9.0,93,0,2.1,ZA,1596317806
Rikitea,-23.12,-134.97,23.29,77,11,3.64,PF,1596317668
Iracoubo,5.48,-53.2,26.68,84,90,3.18,GF,1596317669
Vao,-22.67,167.48,19.04,69,32,7.6,NC,1596317669
Rio Grande,-32.03,-52.1,18.0,72,0,4.1,BR,1596317669
Tual,-5.67,132.75,25.21,80,97,9.02,ID,1596317669
Nikolskoye,59.7,30.79,12.78,81,40,1.0,RU,1596317587
Ushuaia,-54.8,-68.3,6.0,75,40,2.1,AR,1596317571
Pokrovskoye,47.42,38.9,18.33,68,26,1.79,RU,1596317807
Lebu,-37.62,-73.65,11.18,93,28,3.51,CL,1596317671
Hong Kong,22.29,114.16,26.67,88,100,4.92,HK,1596317795
New Norfolk,-42.78,147.06,9.44,56,9,0.45,AU,1596317671
Bambous Virieux,-20.34,57.76,22.0,83,75,7.7,MU,1596317588
Zemio,5.03,25.14,21.16,93,100,0.29,CF,1596317671
Mahébourg,-20.41,57.7,22.0,83,75,7.7,MU,1596317672
Castro,-24.79,-50.01,12.97,78,0,1.02,BR,1596317476
Sola,-13.88,167.55,25.47,85,38,1.5,VU,1596317672
Saint George,37.1,-113.58,42.78,8,1,5.7,US,1596317672
Carnarvon,-24.87,113.63,15.0,87,0,5.1,AU,1596317664
Ust-Kuyga,70.02,135.6,9.75,71,32,2.35,RU,1596317673
Haileybury,47.45,-79.64,27.0,51,75,1.0,CA,1596317673
Pozo Colorado,-23.49,-58.8,26.33,41,3,2.56,PY,1596317673
Avarua,-21.21,-159.78,23.0,60,42,2.6,CK,1596317382
Shingū,33.73,135.98,25.01,72,30,1.28,JP,1596317673
Grindavik,63.84,-22.43,10.0,100,90,3.6,IS,1596317674
Severo-Kuril'sk,50.68,156.12,13.08,79,100,4.85,RU,1596317557
Lorengau,-2.02,147.27,26.61,81,100,3.86,PG,1596317674
Saint-Philippe,-21.36,55.77,21.0,77,90,5.1,RE,1596317532
Arraial do Cabo,-22.97,-42.03,22.0,68,14,3.6,BR,1596317674
Leningradskiy,69.38,178.42,6.17,69,100,1.92,RU,1596317675
Kavaratti,10.57,72.64,27.83,78,100,10.07,IN,1596317537
Vila Velha,-20.33,-40.29,19.0,93,75,2.6,BR,1596317675
Puerto Ayora,-0.74,-90.35,27.0,61,20,4.1,EC,1596317676
Bengkulu,-3.8,102.27,23.32,88,100,1.97,ID,1596317677
Ust-Nera,64.57,143.2,18.32,35,29,1.24,RU,1596317677
Hilo,19.73,-155.09,27.0,65,75,3.1,US,1596317677
Kandrian,-6.22,149.55,26.02,78,78,5.73,PG,1596317678
Clyde River,70.47,-68.59,7.0,93,75,3.1,CA,1596317678
Hermanus,-34.42,19.23,12.78,86,0,1.79,ZA,1596317678
Souillac,-20.52,57.52,22.0,83,75,7.7,MU,1596317678
Baker City,44.77,-117.83,31.0,20,1,5.1,US,1596317678
Wahlern,46.83,7.35,25.0,94,20,1.5,CH,1596317679
Longyearbyen,78.22,15.64,12.0,76,27,1.5,SJ,1596317653
Punta Arenas,-53.15,-70.92,3.0,86,90,1.5,CL,1596317679
Alice Springs,-23.7,133.88,1.0,40,0,1.5,AU,1596317679
Tete,-16.16,33.59,21.0,52,20,4.1,MZ,1596317679
Rawson,-43.3,-65.1,13.62,49,71,8.55,AR,1596317624
Initao,8.5,124.3,23.33,93,98,1.79,PH,1596317680
Monterrey,25.67,-100.32,29.0,48,40,6.2,MX,1596317400
Petropavlovsk-Kamchatskiy,53.05,158.65,15.0,72,85,4.0,RU,1596317445
Omboué,-1.57,9.26,23.12,78,75,3.45,GA,1596317680
Ryōtsu-minato,38.08,138.43,22.0,100,50,1.0,JP,1596317681
Cap Malheureux,-19.98,57.61,21.11,82,22,4.02,MU,1596317681
Olafsvik,64.89,-23.71,10.05,91,100,4.48,IS,1596317681
Port Alfred,-33.59,26.89,15.15,76,0,4.98,ZA,1596317681
Ribeira Grande,38.52,-28.7,23.0,73,40,2.6,PT,1596317542
Poum,-20.23,164.02,20.22,72,1,11.17,NC,1596317682
Ulladulla,-35.35,150.47,9.0,76,17,6.2,AU,1596317556
Cascais,38.7,-9.42,20.0,72,20,9.3,PT,1596317647
Cabo San Lucas,22.89,-109.91,33.33,52,5,6.2,MX,1596317542
Busselton,-33.65,115.33,10.0,84,95,0.67,AU,1596317683
Guerrero Negro,27.98,-114.06,31.15,44,0,6.67,MX,1596317683
Cape Town,-33.93,18.42,11.67,87,0,1.5,ZA,1596317443
Yangi Marg`ilon,40.43,71.72,26.0,31,67,5.1,UZ,1596317616
Portland,45.52,-122.68,27.78,53,40,2.1,US,1596317527
Sinazongwe,-17.26,27.46,16.06,34,0,1.25,ZM,1596317684
Saskylakh,71.92,114.08,17.58,52,100,2.9,RU,1596317684
Mataura,-46.19,168.86,10.88,78,100,0.44,NZ,1596317684
Sitka,57.05,-135.33,16.0,82,90,2.6,US,1596317458
Kapaa,22.08,-159.32,28.0,69,40,6.7,US,1596317685
Port Lincoln,-34.73,135.87,12.77,79,92,2.39,AU,1596317685
Hobart,-42.88,147.33,9.44,70,20,2.6,AU,1596317407
Labuhan,-6.88,112.21,24.37,79,62,4.0,ID,1596317685
Atar,20.52,-13.05,38.7,21,6,3.37,MR,1596317686
Altamira,-3.2,-52.21,33.0,41,20,1.5,BR,1596317686
Riverton,40.52,-111.94,38.89,15,1,2.1,US,1596317686
Nyzhni Sirohozy,46.85,34.38,19.23,59,65,3.36,UA,1596317686
Hithadhoo,-0.6,73.08,28.05,75,20,4.97,MV,1596317541
Jamestown,42.1,-79.24,23.33,77,100,1.79,US,1596317536
Esperance,-33.87,121.9,7.0,93,100,5.1,AU,1596317687
Nanortalik,60.14,-45.24,8.13,93,100,6.16,GL,1596317687
Airai,-8.93,125.41,11.1,65,0,1.71,TL,1596317688
Aksarka,66.56,67.8,12.82,96,100,1.33,RU,1596317688
Warrington,53.39,-2.58,15.56,77,64,2.6,GB,1596317411
Fairbanks,64.84,-147.72,25.0,50,1,0.78,US,1596317567
Tuktoyaktuk,69.45,-133.04,12.0,100,90,8.2,CA,1596317688
Haverfordwest,51.8,-4.97,18.33,59,44,0.89,GB,1596317689
Flinders,-34.58,150.86,10.0,85,65,0.45,AU,1596317689
Mingora,34.78,72.36,23.34,65,1,2.22,PK,1596317689
Tornio,65.85,24.15,10.0,100,20,1.0,FI,1596317690
Brunswick,41.24,-81.84,25.0,94,90,4.1,US,1596317536
Bluff,-46.6,168.33,11.09,90,83,5.2,NZ,1596317690
Sambava,-14.27,50.17,21.62,82,77,7.52,MG,1596317691
Coquimbo,-29.95,-71.34,14.0,82,20,4.6,CL,1596317545
Hasaki,35.73,140.83,22.78,100,75,4.1,JP,1596317691
Thompson,55.74,-97.86,22.0,40,20,5.1,CA,1596317691
Beloha,-25.17,45.05,15.34,80,0,4.76,MG,1596317692
Sangar,63.92,127.47,16.64,56,0,1.14,RU,1596317580
Atuona,-9.8,-139.03,26.06,78,99,8.12,PF,1596317692
Provideniya,64.38,-173.3,8.48,66,28,3.67,RU,1596317545
Acapulco de Juárez,16.86,-99.89,31.0,70,5,3.6,MX,1596317693
Butaritari,3.07,172.79,28.48,80,2,7.56,KI,1596317693
Grand Gaube,-20.01,57.66,21.11,82,26,4.02,MU,1596317694
Berlevåg,70.86,29.09,9.14,87,100,3.26,NO,1596317694
Katsuura,35.13,140.3,23.89,89,19,1.34,JP,1596317694
Yerbogachën,61.28,108.01,14.31,76,2,3.27,RU,1596317695
Sydney Mines,46.24,-60.22,21.67,83,75,4.1,CA,1596317695
Linhares,-19.39,-40.07,19.26,85,6,1.62,BR,1596317464
Zholymbet,51.74,71.71,19.93,54,0,2.32,KZ,1596317695
Iznoski,54.99,35.31,11.51,99,45,3.05,RU,1596317696
Ballina,-28.87,153.57,10.56,100,16,2.6,AU,1596317696
Palu,-0.89,119.87,24.35,81,98,0.92,ID,1596317696
Faanui,-16.48,-151.75,26.02,80,35,5.51,PF,1596317696
Dikson,73.51,80.55,8.51,100,87,8.11,RU,1596317534
Den Helder,52.96,4.76,16.11,93,26,3.1,NL,1596317697
Tautira,-17.73,-149.15,29.0,66,20,7.7,PF,1596317697
Ipirá,-12.16,-39.74,20.14,79,0,4.8,BR,1596317537
Benguela,-12.58,13.41,20.08,85,54,1.58,AO,1596317698
Assiniboia,49.63,-105.98,26.01,29,0,3.0,CA,1596317698
Buraidah,26.33,43.98,39.0,21,23,5.1,SA,1596317595
Salalah,17.02,54.09,27.0,94,20,2.6,OM,1596317698
Cidreira,-30.18,-50.21,15.16,74,0,3.32,BR,1596317699
Upernavik,72.79,-56.15,5.91,66,22,5.95,GL,1596317535
Caravelas,-17.71,-39.25,21.03,79,24,2.95,BR,1596317699
Pevek,69.7,170.31,2.4,95,100,2.48,RU,1596317541
Half Moon Bay,37.46,-122.43,26.11,82,75,6.2,US,1596317700
East London,-33.02,27.91,15.95,70,0,4.1,ZA,1596317552
Dushanbe,38.56,68.78,20.0,64,1,2.0,TJ,1596317700
Barrow,71.29,-156.79,2.0,80,90,2.6,US,1596317700
Villa Rica,33.73,-84.92,31.0,45,40,3.1,US,1596317410
Tarare,45.9,4.43,21.11,77,93,1.23,FR,1596317701
Kahului,20.89,-156.47,31.0,45,20,10.3,US,1596317701
Narsaq,60.92,-46.05,12.0,62,75,4.1,GL,1596317561
Karratha,-20.74,116.85,19.25,32,0,2.27,AU,1596317702
Dovbysh,50.37,27.99,11.45,95,0,3.14,UA,1596317702
Revda,56.8,59.93,16.0,100,100,1.55,RU,1596317702
Havøysund,71.0,24.66,8.0,93,56,3.6,NO,1596317702
Paracuru,-3.41,-39.03,26.11,73,41,2.24,BR,1596317703
Westport,41.14,-73.36,31.67,45,1,4.1,US,1596317586
Lodja,-3.48,23.43,25.83,45,64,1.29,CD,1596317703
Dongsheng,39.82,109.98,20.25,38,0,2.38,CN,1596317703
Mandalgovi,45.76,106.27,12.98,75,100,10.88,MN,1596317704
Oudtshoorn,-33.59,22.2,10.0,100,0,1.0,ZA,1596317704
Ciudad Bolivar,8.12,-63.55,29.26,72,100,3.0,VE,1596317704
Miles City,46.41,-105.84,31.0,27,1,4.6,US,1596317704
The Valley,18.22,-63.06,30.0,70,20,3.6,AI,1596317705
Kununurra,-15.77,128.73,11.0,37,0,2.63,AU,1596317705
Chunskiy,56.08,99.63,15.4,96,100,2.65,RU,1596317705
La Ronge,55.1,-105.28,24.0,53,20,2.1,CA,1596317705
Borazjan,29.27,51.22,33.0,66,0,1.5,IR,1596317706
Praia,14.92,-23.51,27.0,78,20,4.1,CV,1596317583
Nago,26.59,127.98,28.0,83,1,4.6,JP,1596317706
Namatanai,-3.67,152.43,26.95,82,99,3.77,PG,1596317706
Novy Urengoy,66.08,76.63,15.13,83,100,7.02,RU,1596317556
Altay,47.87,88.12,13.27,53,0,1.04,CN,1596317707
Vaini,-21.2,-175.2,23.0,73,75,5.1,TO,1596317707
Tilichiki,60.47,166.1,13.25,69,18,2.54,RU,1596317708
Santa Marinella,42.03,11.85,27.22,38,0,4.02,IT,1596317708
Tongren,27.72,109.19,24.04,87,1,0.36,CN,1596317708
Mar del Plata,-38.0,-57.56,10.0,93,100,6.2,AR,1596317615
Ahipara,-35.17,173.17,13.53,89,100,5.93,NZ,1596317708
Koulikoro,14.0,-7.75,26.74,78,6,5.71,ML,1596317709
Lagos,6.58,3.75,25.0,88,20,2.1,NG,1596317295
Syracuse,37.09,15.28,28.0,74,0,1.5,IT,1596317709
Kruisfontein,-34.0,24.73,10.39,91,0,2.69,ZA,1596317709
Donskoye,45.46,41.97,17.78,93,48,2.0,RU,1596317709
Kuusamo,65.97,29.18,9.0,100,62,1.5,FI,1596317710
Lompoc,34.64,-120.46,22.0,60,0,7.2,US,1596317710
Eyl,7.98,49.82,25.95,67,18,11.36,SO,1596317710
Mugur-Aksy,50.35,90.5,5.89,82,62,0.86,RU,1596317710
Røros,62.57,11.38,13.0,87,0,1.5,NO,1596317711
Mossamedes,-15.2,12.15,19.53,78,0,2.01,AO,1596317711
Charters Towers,-20.1,146.27,14.29,77,0,5.57,AU,1596317711
Port Elizabeth,-33.92,25.57,13.0,100,0,2.6,ZA,1596317561
Basco,20.45,121.97,28.75,76,100,3.81,PH,1596317712
Coyhaique,-45.58,-72.07,6.0,87,90,1.0,CL,1596317712
Līsakovsk,52.54,62.49,22.62,38,10,3.98,KZ,1596317712
Chapais,49.78,-74.85,27.0,44,1,3.1,CA,1596317595
Marystown,47.17,-55.15,18.38,90,68,3.68,CA,1596317713
Knysna,-34.04,23.05,10.0,100,2,1.0,ZA,1596317713
Fortuna,40.6,-124.16,23.89,66,26,1.34,US,1596317577
Cherskiy,68.75,161.3,6.79,74,98,4.04,RU,1596317713
Chokurdakh,70.63,147.92,13.75,60,85,1.38,RU,1596317713
Shimoda,34.67,138.95,20.56,93,23,3.23,JP,1596317608
Nantucket,41.28,-70.1,24.44,73,1,4.1,US,1596317714
Nome,64.5,-165.41,15.0,76,75,3.1,US,1596317714
Qaanaaq,77.48,-69.36,4.48,70,20,2.97,GL,1596317714
Cukai,4.25,103.42,26.0,88,100,1.5,MY,1596317715
Pampas,-12.4,-74.9,14.7,36,0,3.41,PE,1596317715
Pimenta Bueno,-11.67,-61.19,29.01,29,0,1.14,BR,1596317615
Takoradze,4.88,-1.76,23.36,85,0,4.01,GH,1596317715
Aklavik,68.22,-135.01,18.0,72,75,5.7,CA,1596317715
Khandagayty,50.73,92.05,9.09,72,28,1.55,RU,1596317716
Albany,42.6,-73.97,32.22,39,71,0.75,US,1596317716
Wilmington,34.23,-77.94,29.0,83,1,2.6,US,1596317433
Dali,25.7,100.18,17.66,81,98,0.8,CN,1596317716
Piteå,65.32,21.48,15.0,93,24,0.5,SE,1596317716
North Bend,43.41,-124.22,27.78,68,1,6.7,US,1596317717
Chernyshevskiy,63.01,112.47,13.88,72,0,1.98,RU,1596317717
Punta Cardon,11.66,-70.22,30.12,70,69,7.28,VE,1596317717
San Policarpo,12.18,125.51,25.49,83,100,1.54,PH,1596317718
Kirakira,-10.45,161.92,28.1,73,17,0.12,SB,1596317718
Yumen,40.28,97.2,17.95,23,5,3.78,CN,1596317718
Laguna,38.42,-121.42,33.89,31,1,2.6,US,1596317479
Necochea,-38.55,-58.74,11.67,73,100,6.71,AR,1596317718
Jurm,36.86,70.83,17.68,49,0,0.7,AF,1596317719
Vanimo,-2.67,141.3,24.66,91,100,3.61,PG,1596317719
Dabeiba,7.0,-76.27,27.01,76,84,1.03,CO,1596317719
Egvekinot,66.32,-179.17,8.9,70,86,1.47,RU,1596317605
Beringovskiy,63.05,179.32,10.71,79,100,3.24,RU,1596317720
Balkanabat,39.51,54.37,28.39,21,0,2.82,TM,1596317720
Qaqortoq,60.72,-46.03,12.0,62,75,4.1,GL,1596317720
Fayaoué,-20.65,166.53,20.23,72,0,8.87,NC,1596317721
